3.167169380854547001e+01,2.941199897287625653e+00,3.491356434718816359e+01,3.019040689713377290e+01,2.148049683821072087e+00,7.993624136714484463e-01,3.074280783181118437e+01,1.579304575273682190e+02,1.103142460296887073e+01,1.794912211432945881e+01,1.613796046154328394e+02,1.042607665851930321e+01,2.559533875303781958e+00,1.688264763701980371e+02,8.677651644574618572e+00,0.000000000000000000e+00
3.079784172137303244e+01,2.403648614511124659e+00,3.271942021784938959e+01,3.147214169427779851e+01,1.464097263407764027e+00,1.073034682025194142e+00,3.246996886158049023e+01,1.574655351155025755e+02,1.087842959686192756e+01,1.953142632028980685e+01,1.598073611244709298e+02,1.084514392913237124e+01,3.641642869142207584e+00,1.682686757109386235e+02,8.863529501199769456e+00,0.000000000000000000e+00
3.025713970183194945e+01,6.272434865994900299e+00,3.598877073752014866e+01,2.543566684177272563e+01,2.303419208075244029e+00,6.569168314484008508e-01,3.626215851229908793e+01,1.506958381950701096e+02,1.278692983780180015e+01,3.028699564161395585e+01,1.487568825935236134e+02,1.273992215492150670e+01,1.506436963551192676e+01,1.561444354430023225e+02,1.093859748459991188e+01,0.000000000000000000e+00
2.971515634255312577e+01,1.081858956034371033e+01,3.338623626745224016e+01,2.795188148838879272e+01,2.254544722542092483e+00,8.172100643597904890e-01,3.646220538339209583e+01,1.530968194972184335e+02,1.200005463569413955e+01,2.854068256871068954e+01,1.543314546290193618e+02,1.128743211965931259e+01,1.231539548229055647e+01,1.625601824932835768e+02,9.497118846973572559e+00,0.000000000000000000e+00
1.386019950321612626e+01,1.352782438241519003e+01,1.544329690523350607e+01,2.883616444525001299e+01,1.735636385739648624e+00,1.073359110823112861e+00,3.994027340650648483e+01,1.496572658346644573e+02,1.991846091922669970e+01,3.279171652423998040e+01,1.517835788142677131e+02,1.897160980415645071e+01,1.670786418080135860e+01,1.616973287975168603e+02,1.474304193504614524e+01,0.000000000000000000e+00
2.243180878375899212e+01,8.193697786281338935e+00,2.480965907108974022e+01,2.702125267477693882e+01,2.854508581050998473e+00,1.663008613095193100e+00,3.392124686776251963e+01,1.541523857427080202e+02,1.301483731402082888e+01,2.272083048763698798e+01,1.568617575364940251e+02,1.228822188172365770e+01,3.469182034957120297e+00,1.673105109311319438e+02,8.666950944227767906e+00,0.000000000000000000e+00
2.963834530775994480e+01,7.763795062191287677e+00,3.540342257814807425e+01,2.676625170693407796e+01,1.900923073164267452e+00,2.002360257897114248e+00,2.260546196999212754e+01,1.679274312215606244e+02,4.822859348758107956e+00,9.174930210319560686e+00,1.704362441916285036e+02,5.816167998283773066e+00,1.054032991343009940e+01,1.752362404542311651e+02,2.575629882849168606e+00,0.000000000000000000e+00
2.823823733734746355e+01,3.429758096736865269e+00,2.962357072641622935e+01,2.706146348574152327e+01,2.581832603908268187e+00,1.666919991917571897e+00,2.238368261484982469e+01,1.675067491101109738e+02,4.937531095980692619e+00,8.378538309102273374e+00,1.714335527417476612e+02,4.418993701420282250e+00,1.638083634281709422e+01,1.692659109907062032e+02,1.422885701523629809e+00,0.000000000000000000e+00
3.258742572413657967e+01,1.582516325205915786e+00,3.563568081760036677e+01,2.961132435320491396e+01,8.925682373565683170e-01,1.863133048391528490e+00,3.238884012406864343e+01,1.564223864009125577e+02,8.969852892858515503e+00,2.519741456635744115e+01,1.551750697536943733e+02,9.579072083706753560e+00,8.206795942335004312e+00,1.629912200283334300e+02,9.421531986132551495e+00,0.000000000000000000e+00
2.445632812591674465e+01,9.406700138981001658e+00,2.933958960347220923e+01,2.716411089851155936e+01,9.360569933675487730e-01,1.722100128587263468e+00,4.056838242597670785e+01,1.479949677819547276e+02,1.584006336624577216e+01,3.607297728612175547e+01,1.484521508835260022e+02,1.561248948653468105e+01,2.011244208093870256e+01,1.560057406093862937e+02,1.289713498619416221e+01,0.000000000000000000e+00
3.456879595052218690e+01,4.103951489190651891e+00,2.745470591400411209e+01,2.535137338963896170e+01,1.078671871821648837e-01,6.842106082745227358e-01,4.755335163919212249e+01,1.392881535239097559e+02,1.045871635762712337e+01,4.753849590298342065e+01,1.334588578781374792e+02,1.021517803939562974e+01,5.036604581017755322e+01,1.227390547920324337e+02,7.216529971468821358e+00,0.000000000000000000e+00
2.307376744904155075e+01,2.681953602975271522e+00,2.118487009765395257e+01,2.672099881794227372e+01,1.328671625254109756e+00,9.250600702275538767e-01,4.232666344761671695e+01,1.453015273959883871e+02,1.478796642633598069e+01,3.915243503056699126e+01,1.412429934604657547e+02,1.510819591831548614e+01,2.491069195252512358e+01,1.460184893428401551e+02,1.278005191631550375e+01,0.000000000000000000e+00
4.378294391897532734e+01,5.717730298663670219e-01,3.298348775454081050e+01,3.108764536285904612e+01,1.842679175775248090e+00,9.148280407097745259e-01,3.795877548234783205e+01,1.523389989086125240e+02,1.371649907143458691e+01,3.036191533567846790e+01,1.492842456413268337e+02,1.419845390434772447e+01,1.723595271790027184e+01,1.538783225767959948e+02,1.160291228144590292e+01,0.000000000000000000e+00
3.817292903779340207e+01,1.179810728500640238e+01,2.740759554367965478e+01,2.802654562497358626e+01,1.366674942273044202e+00,4.698395849162892435e-01,3.775495647776527619e+01,1.511097105613146709e+02,1.357530936144928013e+01,3.491308726432964704e+01,1.473758889582953771e+02,1.315385381436699497e+01,2.168185201405766804e+01,1.530181918898432798e+02,1.198668587769287619e+01,0.000000000000000000e+00
3.778661409435563456e+01,3.392516079997499823e+00,3.555073334426760567e+01,2.827154231145162910e+01,1.003336018176814060e+00,7.831655396064265418e-01,3.748440881947034597e+01,1.510815074230449966e+02,1.090980465620896567e+01,3.346437067037586388e+01,1.468597202443602328e+02,1.162783318016672496e+01,1.976733664979570548e+01,1.519265323974934745e+02,1.005455008147541918e+01,0.000000000000000000e+00
3.306100759843185699e+01,5.814730855148790845e-01,2.701909273411880008e+01,2.849300768905089853e+01,9.328079377246710768e-01,9.999745078681324673e-01,3.745335918324230562e+01,1.507992889202410538e+02,1.136045126616653533e+01,2.986119307732764483e+01,1.497053969163698071e+02,1.161874128702074138e+01,1.086908680605787048e+01,1.591944461119931020e+02,1.146858474674039741e+01,0.000000000000000000e+00
